A1	A2	A3	A4	A5	A6	A7	A8
839.594	247.496	130.521	30.892	139.197	454.085	386.188	1403.412
850.088	241.179	138.782	32.481	141.481	466.198	391.414	1416.785
851.994	235.529	142.793	32.584	147.129	473.682	393.731	1428.811
869.058	222.771	141.199	32.044	137.403	451.362	374.326	1405.875
867.148	209.494	141.959	32.995	141.212	464.361	377.388	1398.463
908.396	226.203	146.181	34.051	137.762	477.551	396.657	1409.508
873.008	226.611	143.878	35.15	140.9	479.708	393.778	1441.556
899	230.32	131.939	35.786	141.549	475.483	391.234	1444.453
851.894	230.126	127.297	32.91	137.555	460.742	389.22	1401.026
865.589	249.533	121.477	33.789	135.877	436.626	367.323	1403.395
885.178	262.612	121.568	32.482	134.69	458.992	392.772	1406.672
871.876	263.771	127.108	33.331	134.098	460.693	396.44	1434.91
884.19	283.158	129.952	31.311	133.727	448.314	374.274	1445.778
886.362	274.284	132.03	31.093	135.823	447.569	370.293	1453.345
890.263	262.996	138.597	31.256	130.834	444.654	377.46	1434.635
845.648	240.884	133.541	28.873	130.163	431.666	378.92	1413.761
818.667	206.089	116.511	24.587	131.188	404.65	354.864	1386.744
820.394	228.929	117.551	27.181	130.701	423.25	376.092	1392.795
818.648	226.536	116.866	29.143	128.296	421.447	378.737	1368.112
788.444	212.148	106.337	25.472	121.851	402.788	358.638	1263.684
748.885	232.668	107.036	26.338	114.8	403.624	340.983	1316.26
737.399	218.317	107.317	26.115	116.45	411.969	337.425	1302.791
738.959	217.317	113.854	26.588	121.258	440.187	355.715	1365.484
728.29	195.614	113.355	26.285	117.381	443.623	347.258	1338.728
712.237	195.776	112.643	26.064	114.796	441.209	343.388	1312.216
715.784	182.663	111.418	22.959	115.984	426.167	314.237	1259.01
671.256	151.528	117.026	23.689	118.811	438.263	320.431	1253.096
734.029	180.231	121.448	24.322	121.849	434.645	336.972	1277.275
743.599	143.285	119.913	23.826	122.506	427.47	338.521	1281.494
730.259	150.97	111.793	22.089	125.223	426.702	330.756	1209.711
763.19	155.225	114.547	22.634	127.809	444.844	340.567	1263.034
796.643	157.865	121.23	23.065	131.206	443.737	369.369	1262.982
